id,display_name
BAT-USDC,BAT/USDC
QNT-USD,QNT/USD
MIR-USD,MIR/USD
ANKR-USD,ANKR/USD
COTI-USD,COTI/USD
MATIC-GBP,MATIC/GBP
USDC-GBP,USDC/GBP
GYEN-USD,GYEN/USD
ALGO-GBP,ALGO/GBP
ICP-USDT,ICP/USDT
GRT-GBP,GRT/GBP
TRAC-USDT,TRAC/USDT
WCFG-USD,WCFG/USD
MIR-BTC,MIR/BTC
PLA-USD,PLA/USD
RAD-EUR,RAD/EUR
ADA-ETH,ADA/ETH
KRL-EUR,KRL/EUR
DOGE-EUR,DOGE/EUR
GRT-EUR,GRT/EUR
TRAC-EUR,TRAC/EUR
CVC-USD,CVC/USD
SUSHI-EUR,SUSHI/EUR
ETC-BTC,ETC/BTC
AXS-EUR,AXS/EUR
ALCX-USDT,ALCX/USDT
MKR-USD,MKR/USD
XLM-EUR,XLM/EUR
XLM-BTC,XLM/BTC
RGT-USD,RGT/USD
LINK-ETH,LINK/ETH
CGLD-USD,CGLD/USD
