,symbol
0,btcusd
1,ltcusd
2,ltcbtc
3,ethusd
4,ethbtc
5,etcbtc
6,etcusd
7,rrtusd
8,zecusd
9,zecbtc
10,xmrusd
11,xmrbtc
12,dshusd
13,dshbtc
14,btceur
15,btcjpy
16,xrpusd
17,xrpbtc
18,iotusd
19,iotbtc
20,ioteth
21,eosusd
22,eosbtc
23,eoseth
24,sanusd
25,sanbtc
26,saneth
27,omgusd
28,omgbtc
29,omgeth
30,neousd
31,neobtc
32,neoeth
33,etpusd
34,etpbtc
35,etpeth
36,qtmusd
37,qtmbtc
38,edousd
39,edobtc
40,edoeth
41,btgusd
42,btgbtc
43,datusd
44,datbtc
45,qshusd
46,gntusd
47,sntusd
48,ioteur
49,batusd
50,batbtc
51,bateth
52,mnausd
53,mnabtc
54,funusd
55,zrxusd
56,zrxbtc
57,zrxeth
58,trxusd
59,trxbtc
60,trxeth
61,repusd
62,repbtc
63,btcgbp
64,etheur
65,ethjpy
66,ethgbp
67,neoeur
68,neojpy
69,neogbp
70,eoseur
71,eosjpy
72,eosgbp
73,iotjpy
74,iotgbp
75,requsd
76,lrcusd
77,waxusd
78,daiusd
79,daibtc
80,daieth
81,bftusd
82,odeusd
83,antusd
84,antbtc
85,anteth
86,stjusd
87,xlmusd
88,xlmbtc
89,xlmeth
90,xvgusd
91,mkrusd
92,kncusd
93,kncbtc
94,lymusd
95,utkusd
96,veeusd
97,orsusd
98,zcnusd
99,essusd
100,iqxusd
101,zilusd
102,zilbtc
103,bntusd
104,xrausd
105,vetusd
106,vetbtc
107,gotusd
108,goteur
109,xtzusd
110,xtzbtc
111,trxeur
112,yggusd
113,mlnusd
114,omnusd
115,pnkusd
116,pnketh
117,dgbusd
118,bsvusd
119,bsvbtc
120,enjusd
121,rbtusd
122,rbtbtc
123,ustusd
124,euteur
125,eutusd
126,udcusd
127,tsdusd
128,paxusd
129,pasusd
130,vsyusd
131,vsybtc
132,bttusd
133,btcust
134,ethust
135,clousd
136,ltcust
137,eosust
138,gnousd
139,atousd
140,atobtc
141,atoeth
142,wbtusd
143,xchusd
144,eususd
145,leousd
146,leobtc
147,leoust
148,leoeos
149,leoeth
150,gtxusd
151,kanusd
152,gtxust
153,kanust
154,ampusd
155,algusd
156,algbtc
157,algust
158,btcxch
159,ampust
160,dusk:usd
161,dusk:btc
162,uosusd
163,uosbtc
164,ampbtc
165,fttusd
166,fttust
167,paxust
168,udcust
169,tsdust
170,btc:cnht
171,ust:cnht
172,cnh:cnht
173,chzusd
174,chzust
175,xaut:usd
176,xaut:btc
177,xaut:ust
178,btse:usd
179,testbtc:testusd
180,testbtc:testusdt
181,aaabbb
182,dogusd
183,dogbtc
184,dogust
185,dotusd
186,adausd
187,adabtc
188,adaust
189,fetusd
190,fetust
191,dotust
192,link:usd
193,link:ust
194,comp:usd
195,comp:ust
196,ksmusd
197,ksmust
198,egld:usd
199,egld:ust
200,uniusd
201,uniust
202,band:usd
203,band:ust
204,avax:usd
205,avax:ust
206,snxusd
207,snxust
208,yfiusd
209,yfiust
210,balusd
211,balust
212,eosdt:usd
213,eosdt:ust
214,filusd
215,filust
216,jstusd
217,jstbtc
218,jstust
219,iqxust
220,hezusd
221,hezust
222,bchabc:usd
223,bchn:usd
224,xdcusd
225,xdcust
226,pluusd
227,sunusd
228,sunust
229,uopusd
230,uopust
231,eutust
232,xmrust
233,xrpust
234,b21x:usd
235,b21x:ust
236,sushi:usd
237,sushi:ust
238,xsnusd
239,dotbtc
240,eth2x:usd
241,eth2x:ust
242,eth2x:eth
243,aave:usd
244,aave:ust
245,xlmust
246,ctkusd
247,ctkust
248,solusd
249,solust
250,best:usd
251,albt:usd
252,albt:ust
253,celusd
254,celust
255,suku:usd
256,suku:ust
257,bmiusd
258,bmiust
259,mobusd
260,mobust
261,near:usd
262,near:ust
263,boson:usd
264,boson:ust
265,luna:usd
266,luna:ust
267,iceusd
268,doge:usd
269,doge:ust
270,oxyusd
271,oxyust
272,1inch:usd
273,1inch:ust
274,idxusd
275,forth:usd
276,forth:ust
277,idxust
278,chex:usd
279,qtfusd
280,qtfbtc
281,ocean:usd
282,ocean:ust
283,planets:usd
284,planets:ust
285,ftmusd
286,ftmust
287,nexo:usd
288,nexo:btc
289,nexo:ust
290,velo:usd
291,velo:ust
292,icpusd
293,icpbtc
294,icpust
295,fclusd
296,fclust
297,terraust:usd
298,terraust:ust
299,mirusd
300,mirust
301,grtusd
302,grtust
303,waves:usd
304,waves:ust
305,reef:usd
306,reef:ust
307,btceut
308,dcrusd
309,luna:btc
310,chsb:usd
311,chsb:btc
312,chsb:ust
313,xrdusd
314,xrdbtc
315,exousd
316,rose:usd
317,rose:ust
318,doge:btc
319,etcust
320,neoust
321,atoust
322,xtzust
323,batust
324,vetust
325,trxust
326,etheut
327,eurust
328,matic:usd
329,matic:btc
330,matic:ust
331,axsusd
332,axsust
333,hmtusd
334,hmtust
335,dora:usd
336,dora:ust
337,btc:xaut
338,eth:xaut
339,solbtc
340,avax:btc
341,jasmy:usd
342,jasmy:ust
343,ancusd
344,ancust
345,aixusd
346,aixust
347,shib:usd
348,shib:ust
349,mimusd
350,mimust
351,qrdo:usd
352,qrdo:ust
353,btcmim
354,mkrust
355,tlos:usd
356,tlos:ust
357,btcf0:ustf0
358,ethf0:ustf0
359,xautf0:ustf0
360,btcdomf0:ustf0
361,testbtcf0:testusdtf0
362,ampf0:ustf0
363,eurf0:ustf0
364,gbpf0:ustf0
365,jpyf0:ustf0
366,europe50ixf0:ustf0
367,germany30ixf0:ustf0
368,eosf0:ustf0
369,ltcf0:ustf0
370,dotf0:ustf0
371,xagf0:ustf0
372,iotf0:ustf0
373,linkf0:ustf0
374,unif0:ustf0
375,ethf0:btcf0
376,adaf0:ustf0
377,xlmf0:ustf0
378,dotf0:btcf0
379,ltcf0:btcf0
380,xautf0:btcf0
381,dogef0:ustf0
382,solf0:ustf0
383,sushif0:ustf0
384,lunaf0:ustf0
385,filf0:ustf0
386,avaxf0:ustf0
387,lunaf0:btcf0
388,xrpf0:ustf0
389,xmrf0:ustf0
390,xrpf0:btcf0
391,algf0:ustf0
392,germany40ixf0:ustf0
393,aavef0:ustf0
394,maticf0:ustf0
395,ftmf0:ustf0
396,egldf0:ustf0
397,axsf0:ustf0
398,compf0:ustf0
399,xtzf0:ustf0
400,trxf0:ustf0
401,solf0:btcf0
402,avaxf0:btcf0
403,atof0:ustf0
