Symbol,GICS Sector,Market_Cap
MMM,Industrials,104183775232
ABT,Health Care,210504646656
ABBV,Health Care,189689102336
ABMD,Health Care,15033098240
ACN,Information Technology,205086179328
ATVI,Communication Services,59504807936
ADBE,Information Technology,275726041088
AMD,Information Technology,123140710400
AAP,Consumer Discretionary,13531290624
AES,Utilities,15366260736
AFL,Financials,35435249664
A,Health Care,48405405696
APD,Materials,58066251776
AKAM,Information Technology,17279520768
ALK,Industrials,7666764288
ALB,Materials,25313826816
ARE,Real Estate,29191227392
ALGN,Health Care,53600800768
ALLE,Industrials,12072211456
LNT,Utilities,13966899200
ALL,Financials,37844209664
GOOGL,Communication Services,1813863071744
GOOG,Communication Services,1813260009472
MO,Consumer Staples,89013739520
AMZN,Consumer Discretionary,1679338110976
AMCR,Materials,17998344192
AEE,Utilities,20936908800
AAL,Industrials,13875024896
AEP,Utilities,40660402176
AXP,Financials,137548136448
AIG,Financials,47882760192
AMT,Real Estate,122319142912
AWK,Utilities,30525812736
AMP,Financials,30842226688
ABC,Health Care,25202487296
AME,Industrials,29423276032
AMGN,Health Care,120537956352
APH,Information Technology,45246713856
ADI,Information Technology,92053127168
ANSS,Information Technology,29980829696
ANTM,Health Care,94039449600
AON,Financials,65297321984
AOS,Industrials,10059360256
APA,Energy,8199297536
AAPL,Information Technology,2345800564736
AMAT,Information Technology,119990239232
APTV,Consumer Discretionary,41715040256
ADM,Consumer Staples,33880799232
ANET,Information Technology,26838843392
AJG,Financials,30971150336
AIZ,Financials,9374887936
T,Communication Services,194493595648
ATO,Utilities,11338271744
ADSK,Information Technology,63283822592
ADP,Information Technology,83394797568
AZO,Consumer Discretionary,35692990464
AVB,Real Estate,31015913472
AVY,Materials,17614295040
BKR,Energy,20645896192
BLL,Materials,29300180992
BAC,Financials,363187077120
BBWI,Consumer Discretionary,17779083264
BAX,Health Care,40357736448
BDX,Health Care,71719960576
BBY,Consumer Discretionary,26906001408
BIO,Health Care,22386753536
TECH,Health Care,19182428160
BIIB,Health Care,42431180800
BLK,Financials,130975309824
BK,Financials,45670535168
BA,Industrials,128021463040
BKNG,Consumer Discretionary,99888226304
BWA,Consumer Discretionary,10725806080
BXP,Real Estate,17637726208
BSX,Health Care,62179524608
BMY,Health Care,132971061248
