,symbol
0,BTC
1,ETH
2,BNB
3,USDT
4,SOL
5,ADA
6,XRP
7,DOT
8,USDC
9,DOGE
10,SHIB
11,AVAX
12,LUNA
13,LTC
14,WBTC
15,LINK
16,UNI
17,BUSD
18,CRO
19,BCH
20,MATIC
21,ALGO
22,VET
23,AXS
24,XLM
25,TRX
26,ICP
27,FIL
28,ETC
29,DAI
30,THETA
31,ATOM
32,BTCB
33,HBAR
34,FTT
35,UST
36,EGLD
37,MANA
38,FTM
39,NEAR
40,HNT
41,XTZ
42,GRT
43,XMR
44,EOS
45,MIOTA
46,CAKE
47,FLOW
48,KLAY
49,AAVE
50,LRC
51,XEC
52,KDA
53,KSM
54,BSV
55,NEO
56,SAND
57,LEO
58,QNT
59,CHZ
60,RUNE
61,STX
62,MKR
63,ONE
64,ENJ
65,BTT
66,AMP
67,WAVES
68,HOT
69,ZEC
70,DASH
71,AR
72,IOTX
73,COMP
74,KCS
75,NEXO
76,CELO
77,TFUEL
78,XEM
79,HT
80,CRV
81,BAT
82,WAXP
83,OKB
84,ICX
85,QTUM
86,DCR
87,OMG
88,MINA
89,SUSHI
90,TUSD
91,LPT
92,REV
93,UMA
94,RVN
95,SCRT
96,ZIL
97,YFI
98,AUDIO
99,BTG
100,ANKR
101,XDC
102,PERP
103,IMX
104,TEL
105,SNX
106,CEL
107,RENBTC
108,ZEN
109,BORA
110,SC
111,BNT
112,ELON
113,ZRX
114,USDP
115,ONT
116,VLX
117,WOO
118,VGX
119,IOST
120,SRM
121,MOVR
122,RAY
123,NANO
124,DGB
125,REN
126,SKL
127,CHSB
128,DYDX
129,CKB
130,XYO
131,1INCH
132,CELR
133,WIN
134,NU
135,DENT
136,GNO
137,TRAC
138,MDX
139,GLM
140,STORJ
141,FET
142,XDB
143,USDN
144,POLY
145,KAVA
146,OCEAN
147,INJ
148,RSR
149,SXP
150,CHR
151,GT
152,REEF
153,CTSI
154,XVG
155,ALPHA
156,LSK
157,MED
158,FX
159,CEEK
160,WRX
161,FLUX
162,FEI
163,NKN
164,NMR
165,HIVE
166,COTI
167,OXT
168,VTHO
169,BTCST
170,CSPR
171,BAKE
172,ARDR
173,BCD
174,CVC
175,UOS
176,OGN
177,RLC
178,SNT
179,ONG
180,PAXG
181,CFX
182,ALICE
183,STMX
184,ELF
185,ROSE
186,POWR
187,STRAX
188,ASD
189,UBT
190,ORBS
191,BADGER
192,KP3R
193,ERG
194,EWT
195,TOMO
196,VRA
197,SYS
198,PROM
199,BAND
